일자,지점번호,지점명,황사관측(O/X),평균 미세먼지 농도(㎍/㎥),평균 풍속(m/s),최대 풍속(m/s),최대 풍속 풍향(16방위),최다풍향(16방위),기사,최단시정(10m),대기확산지수:+03시간,+06시간,+09시간,+12시간,+15시간,+18시간,+21시간,+24시간
2023-05-23,93,북춘천,,37,1.1,4.1,290,20,,2000,,,,,,,,
2023-05-23,102,백령도,,37,3.1,7.1,320,290,,3054,,,,,,,,
2023-05-23,104,북강릉,,,0.9,2.3,20,50,,1778,,,,,,,,
2023-05-23,108,서울,O,67,2.2,4.4,340,270,-{황사}-0150.,2000,,,,,,,,
2023-05-23,112,인천,X,,2.1,6,250,250,{연무}0915-1025.,939,,,,,,,,
2023-05-23,115,울릉도,O,37,3.9,6.9,320,70,-{황사}-0210.,2544,,,,,,,,
2023-05-23,119,수원,O,59,1.7,4.8,230,270,-{황사}-0020.,1519,,,,,,,,
2023-05-23,131,청주,O,,1.3,3.2,70,270,-{황사}-0024.,1846,,,,,,,,
2023-05-23,133,대전,O,,0.7,3.5,360,320,-{황사}-0025. {박무}0105-{박무}{강도0}0300-{박무}{강도0}0600-0725.,522,,,,,,,,
2023-05-23,136,안동,O,54,1.4,5.8,140,110,-{황사}-{황사}{강도0}0300-0450. {소나기}1617-1650.,1391,,,,,,,,
2023-05-23,138,포항,O,,2,4.4,50,50,-{황사}-{황사}{강도0}0300-0430. {소나기}1525-1545.,1157,,,,,,,,
2023-05-23,143,대구,O,67,1.9,6.6,90,110,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-1130. {박무}0520-{박무}{강도0}0600-0740.,859,,,,,,,,
2023-05-23,146,전주,O,99,1.7,4.6,270,140,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-{황사}{강도0}1200-1240. {소나기}1445-1457.,1123,,,,,,,,
2023-05-23,152,울산,O,33,2.1,5,90,50,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-1105.,1220,,,,,,,,
2023-05-23,155,창원,O,,1.5,5.1,140,160,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-{황사}{강도0}1200-1445.,1268,,,,,,,,
2023-05-23,156,광주,O,87,0.7,3,50,320,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-{황사}{강도0}1200-1340. ]{우박}[(d 1.0)(SE 70)/고흥군 과역면/ 광양시 일대/ KBS NEWS1330-1440.,679,,,,,,,,
2023-05-23,159,부산,O,,2.4,4.9,110,110,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-{황사}{강도0}1200-1410.,1705,,,,,,,,
2023-05-23,165,목포,O,,2.7,7.3,340,270,-{황사}-{황사}{강도0}0300-0556.,625,,,,,,,,
2023-05-23,168,여수,O,,1.8,6.5,90,200,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-{황사}{강도0}1200-1350. {소나기}1437-{소나기}{강도0}1500-1536.,225,,,,,,,,
2023-05-23,169,흑산도,O,38,3.8,5.9,340,320,-{황사}-{황사}{강도0}0300-0420.,1525,,,,,,,,
2023-05-23,177,홍성,O,,1.4,4.1,50,70,{박무}0205-{박무}{강도0}0300-0315. -{황사}-{황사}{강도0}0300-0405. {박무}0405-{박무}{강도0}0600-0750. {황사}1030-{황사}{강도0}1200-1420.,733,,,,,,,,
2023-05-23,184,제주,O,,2.4,5,320,290,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-{황사}{강도0}1200-1240.,1584,,,,,,,,
2023-05-23,189,서귀포,O,,1.2,2.4,160,180,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-{황사}{강도0}1200-1240.,1581,,,,,,,,
