,사용일자,승차총승객수,하차총승객수
227,20231114,7683351,7655596
228,20231115,7860192,7833456
229,20231116,7534034,7513315
230,20231117,7984765,7960678
231,20231118,5794759,5769234
232,20231119,4393265,4365649
233,20231120,7573517,7545102
234,20231121,7759165,7731984
235,20231122,7813732,7788659
236,20231123,7851769,7829217
237,20231124,8009933,7984431
238,20231125,5796865,5765688
239,20231126,4288122,4257235
240,20231127,7405881,7379793
241,20231128,7732470,7706571
242,20231129,7736164,7708544
243,20231130,7602073,7576609
244,20231201,7918800,7891791
245,20231202,5793213,5767460
246,20231203,4239529,4212769
247,20231204,7493451,7465770
248,20231205,7716061,7690270
249,20231206,7629951,7604858
250,20231207,7818448,7794122
251,20231208,8055702,8030766
252,20231209,6015540,5989253
253,20231210,4312839,4285993
254,20231211,7269378,7243703
255,20231212,7766546,7740243
256,20231213,7877013,7849573
257,20231214,7753326,7726438
258,20231215,7958940,7933013
259,20231216,6184633,6156735
260,20231217,4086318,4061146
261,20231218,7313689,7279748
262,20231219,7733345,7695033
263,20231220,7861155,7827774
264,20231221,7466271,7431915
265,20231222,7752105,7717339
266,20231223,5607900,5581744
267,20231224,4822969,4800791
268,20231225,4567563,4547072
269,20231226,7350361,7321638
270,20231227,7600550,7572253
271,20231228,7512190,7481402
272,20231229,7556765,7525834
273,20231230,5277472,5251515
274,20231231,4190099,4172508
275,20240101,3116300,3096390
276,20240102,7011260,6983855
277,20240103,7248497,7219283
278,20240104,7386609,7357023
279,20240105,7658809,7629359
280,20240106,5416596,5390564
281,20240107,3875184,3854267
282,20240108,7032183,7004394
283,20240109,7377227,7349578
284,20240110,7477144,7448836
285,20240111,7465530,7436834
286,20240112,7747072,7717747
287,20240113,5618049,5592514
288,20240114,3787246,3765984
289,20240115,7151147,7124554
290,20240116,7347541,7319094
291,20240117,7398860,7371050
292,20240118,7490472,7458942
293,20240119,7793118,7759553
294,20240120,5532530,5502510
295,20240121,3985204,3962828
296,20240122,6953814,6929231
297,20240123,6759278,6734447
298,20240124,7035172,7008846
299,20240125,7285391,7257771
300,20240126,7674974,7647737
301,20240127,5575929,5549219
302,20240128,4061199,4036181
303,20240129,7233840,7203604
304,20240130,7406381,7375574
305,20240131,7452768,7421640
306,20240201,7466643,7435293
307,20240202,7740615,7710472
308,20240203,5407106,5380915
309,20240204,4134197,4110614
310,20240205,7201692,7171113
311,20240206,7475378,7449385
312,20240207,7470222,7442003
313,20240208,7192652,7159403
314,20240209,3168305,3141713
315,20240210,2596541,2582891
316,20240211,3455305,3436301
317,20240212,3727423,3706027
318,20240213,7062047,7032013
319,20240214,7639079,7609197
320,20240215,7389986,7360557
321,20240216,7999614,7969488
322,20240217,5986131,5957932
323,20240218,4219963,4193162
324,20240219,7174329,7147581
