,사용일자,폭염여부,황사관측,미세먼지,초미세먼지,한파특보,평균이용승객수,강수량,적설,행정구역_경기남부,행정구역_경기동부,행정구역_경기북서부,행정구역_경기중부,행정구역_서울,행정구역_인천,요일,평일,주말
76,2023-04-13,0.0,0.0,2.0,2.0,0.0,0.1370070037539817,0.0070092925300488,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1,0
77,2023-04-13,0.0,0.0,2.0,2.0,0.0,-1.1239921228342364,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1,0
78,2023-04-14,0.0,1.0,1.0,1.0,0.0,1.1837374229937097,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,1,0
79,2023-04-14,0.0,1.0,0.0,0.0,0.0,0.2124230942646698,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,1,0
80,2023-04-14,0.0,1.0,2.0,2.0,0.0,0.922198777266497,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,1,0
81,2023-04-14,0.0,1.0,1.0,1.0,0.0,0.177036837073333,0.020776319533114,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1,0
82,2023-04-14,0.0,1.0,2.0,2.0,0.0,-0.0027464064023771,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,1,0
83,2023-04-14,0.0,1.0,1.0,1.0,0.0,-1.085519843368296,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,1,0
84,2023-04-15,0.0,0.0,0.0,0.0,0.0,0.5879641290060592,0.1245027499254062,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,0,1
85,2023-04-15,0.0,0.0,0.0,0.0,0.0,-0.3262550472413736,0.0867919918089019,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,0,1
86,2023-04-15,0.0,0.0,0.0,0.0,0.0,-1.4719629086403905,0.1305539565415768,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,0,1
87,2023-04-15,0.0,0.0,0.0,0.0,0.0,0.3135241630103976,0.0574733458429802,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,0,1
89,2023-04-15,0.0,0.0,0.0,0.0,0.0,-0.2517820848528401,0.0427007191548458,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,0,1
91,2023-04-16,0.0,0.0,1.0,1.0,0.0,-0.0723731361810385,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,0,1
92,2023-04-16,0.0,1.0,0.0,0.0,0.0,0.1432020034110598,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6,0,1
93,2023-04-16,0.0,0.0,0.0,0.0,0.0,-1.8222412215732449,0.0251322508677009,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6,0,1
94,2023-04-16,0.0,1.0,0.0,0.0,0.0,-0.5718325091665105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,0,1
95,2023-04-16,0.0,0.0,1.0,1.0,0.0,-0.7574755706762715,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6,0,1
96,2023-04-17,0.0,1.0,0.0,0.0,0.0,1.0913616335944554,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0
99,2023-04-17,0.0,0.0,1.0,1.0,0.0,0.8143700636393839,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
100,2023-04-17,0.0,0.0,1.0,1.0,0.0,-0.0609710201999895,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0
102,2023-04-18,0.0,0.0,0.0,0.0,0.0,1.0955826906518091,0.0408271312149753,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0
103,2023-04-18,0.0,0.0,0.0,0.0,0.0,0.1413420072433707,0.0280179564083411,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0
104,2023-04-18,0.0,0.0,0.0,0.0,0.0,0.0578439142059498,0.03231950606593,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0
106,2023-04-18,0.0,0.0,0.0,0.0,0.0,0.7977297596596794,0.0294553894346391,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0
107,2023-04-18,0.0,0.0,0.0,0.0,0.0,-1.222324330554505,0.0533568106940526,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0
116,2023-04-20,0.0,0.0,0.0,0.0,0.0,0.1827891281649736,0.0089963332467646,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,1,0
117,2023-04-20,0.0,0.0,0.0,0.0,0.0,0.1286180496336715,0.0060131878671635,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1,0
119,2023-04-20,0.0,0.0,0.0,0.0,0.0,-1.1062282593561263,0.0030144646342876,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1,0
130,2023-04-22,0.0,0.0,1.0,1.0,0.0,-0.4002856896658797,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,0,1
144,2023-04-25,0.0,0.0,0.0,0.0,0.0,1.1059256794086896,0.0119640617855746,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0
145,2023-04-25,0.0,0.0,0.0,0.0,0.0,0.1445297938132805,0.0519780484610902,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0
146,2023-04-25,0.0,0.0,0.0,0.0,0.0,-1.1621683766809086,0.0478217876579551,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0
147,2023-04-25,0.0,0.0,0.0,0.0,0.0,0.826403319358939,0.0030144646342876,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0
155,2023-04-26,0.0,0.0,0.0,0.0,0.0,-1.126530514958564,0.0075066976665316,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1,0
162,2023-04-28,0.0,0.0,0.0,0.0,0.0,1.2393121067639443,0.0089963332467646,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,1,0
163,2023-04-28,0.0,0.0,0.0,0.0,0.0,0.3067754556093889,0.020776319533114,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,1,0
