,Unnamed: 0,사용일자,승차총승객수,하차총승객수,총승객수
158,158,20230906,7770785,7741825,15512610
159,159,20230907,7833700,7808060,15641760
160,160,20230908,8087502,8059076,16146578
161,161,20230909,5989601,5958660,11948261
162,162,20230910,4307848,4279529,8587377
163,163,20230911,7571953,7545477,15117430
164,164,20230912,7770306,7742312,15512618
165,165,20230913,7686348,7659535,15345883
166,166,20230914,7850348,7827515,15677863
167,167,20230915,7838529,7815294,15653823
168,168,20230916,5698638,5670152,11368790
169,169,20230917,4206471,4179846,8386317
170,170,20230918,7580295,7551005,15131300
171,171,20230919,7778302,7748663,15526965
172,172,20230920,7549416,7521694,15071110
173,173,20230921,7898361,7872593,15770954
174,174,20230922,8205569,8181091,16386660
175,175,20230923,6037437,6008859,12046296
176,176,20230924,4340134,4314383,8654517
177,177,20230925,7696026,7670106,15366132
178,178,20230926,7762517,7734440,15496957
179,179,20230927,7687082,7660021,15347103
180,180,20230928,3358086,3331784,6689870
181,181,20230929,2788994,2773019,5562013
182,182,20230930,3399906,3383120,6783026
183,183,20231001,3997934,3976752,7974686
184,184,20231002,4531610,4509500,9041110
185,185,20231003,4023616,4001175,8024791
186,186,20231004,7497372,7470429,14967801
187,187,20231005,7744785,7718501,15463286
188,188,20231006,8072206,8049003,16121209
189,189,20231007,6294238,6269343,12563581
190,190,20231008,4643629,4615405,9259034
191,191,20231009,4405413,4378359,8783772
192,192,20231010,7780280,7752563,15532843
193,193,20231011,7883012,7856745,15739757
194,194,20231012,7929603,7904003,15833606
195,195,20231013,8268594,8241795,16510389
196,196,20231014,5695608,5667313,11362921
197,197,20231015,4616018,4586389,9202407
198,198,20231016,7639098,7611890,15250988
199,199,20231017,7862698,7831438,15694136
200,200,20231018,7913320,7884750,15798070
201,201,20231019,7664850,7639521,15304371
202,202,20231020,8269746,8240581,16510327
203,203,20231021,6138256,6106747,12245003
204,204,20231022,4556900,4528350,9085250
205,205,20231023,7589497,7561261,15150758
206,206,20231024,7754821,7727967,15482788
207,207,20231025,7896059,7869631,15765690
208,208,20231026,7823034,7796562,15619596
209,209,20231027,8184036,8158938,16342974
210,210,20231028,6236708,6205966,12442674
211,211,20231029,4628017,4595981,9223998
212,212,20231030,7639455,7611677,15251132
213,213,20231031,7800363,7775257,15575620
214,214,20231101,7662104,7636722,15298826
215,215,20231102,7870974,7846846,15717820
216,216,20231103,7992192,7966517,15958709
217,217,20231104,6049629,6019984,12069613
218,218,20231105,4111148,4083759,8194907
219,219,20231106,7300516,7274525,14575041
220,220,20231107,7749311,7722695,15472006
221,221,20231108,7878620,7851996,15730616
222,222,20231109,7679800,7657416,15337216
223,223,20231110,7887713,7864295,15752008
224,224,20231111,5964637,5935644,11900281
225,225,20231112,4239859,4211002,8450861
226,226,20231113,7466192,7437888,14904080
227,227,20231114,7683351,7655596,15338947
228,228,20231115,7860192,7833456,15693648
229,229,20231116,7534034,7513315,15047349
230,230,20231117,7984765,7960678,15945443
231,231,20231118,5794759,5769234,11563993
232,232,20231119,4393265,4365649,8758914
233,233,20231120,7573517,7545102,15118619
234,234,20231121,7759165,7731984,15491149
