,사용일자,폭염여부,황사관측,미세먼지,초미세먼지,한파특보,평균이용승객수,강수량,적설,행정구역_경기남부,행정구역_경기동부,행정구역_경기북서부,행정구역_경기중부,행정구역_서울,행정구역_인천,요일,평일,주말
34,2023-04-06,0.0,0.0,0.0,0.0,0.0,0.0701021836780587,0.0245272800368451,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1,0
35,2023-04-06,0.0,0.0,0.0,0.0,0.0,-0.0975759607333935,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,1,0
36,2023-04-07,0.0,0.0,1.0,1.0,0.0,0.8751576711595462,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,1,0
37,2023-04-07,0.0,0.0,1.0,1.0,0.0,1.1611706528529782,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,1,0
38,2023-04-07,0.0,0.0,0.0,0.0,0.0,0.2099702759017804,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,1,0
39,2023-04-07,0.0,0.0,1.0,1.0,0.0,-1.0654621251918692,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,1,0
40,2023-04-07,0.0,0.0,1.0,1.0,0.0,-0.0074719782611775,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,1,0
41,2023-04-07,0.0,0.0,0.0,0.0,0.0,0.1739672172172587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1,0
42,2023-04-08,0.0,0.0,0.0,0.0,0.0,0.6871552851857051,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,0,1
43,2023-04-08,0.0,0.0,0.0,0.0,0.0,-1.3535637168388868,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,0,1
44,2023-04-08,0.0,0.0,0.0,0.0,0.0,-0.1781520937597399,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,0,1
45,2023-04-08,0.0,0.0,0.0,0.0,0.0,0.3960422654713096,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,0,1
46,2023-04-08,0.0,0.0,0.0,0.0,0.0,-0.124039228227095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,0,1
47,2023-04-08,0.0,0.0,0.0,0.0,0.0,-0.3853391477326438,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,0,1
48,2023-04-09,0.0,0.0,0.0,0.0,0.0,0.2053999987022954,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6,0,1
49,2023-04-09,0.0,0.0,0.0,0.0,0.0,0.0296539496997119,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,0,1
50,2023-04-09,0.0,0.0,0.0,0.0,0.0,-0.6077830960365393,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,0,1
51,2023-04-09,0.0,0.0,0.0,0.0,0.0,-1.7164851998541222,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6,0,1
52,2023-04-09,0.0,0.0,0.0,0.0,0.0,-0.7211540731287056,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6,0,1
53,2023-04-09,0.0,0.0,0.0,0.0,0.0,-0.490946525205235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,0,1
54,2023-04-10,0.0,0.0,0.0,0.0,0.0,0.1678246440410704,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
55,2023-04-10,0.0,0.0,0.0,0.0,0.0,1.0623611487044995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0
